Modelo,Numero predictores,Accuracy,AUC-ROC,Delta Accuracy vs base,Delta AUC vs base
MLP base sin coordenadas,5,0.78125,0.834821,0.0,0.0
"MLP con coordenadas x,y",7,0.65625,0.919643,-0.125,0.084821
