Estrategia,Modelo,Conjunto evaluado,Accuracy medio,Desviacion accuracy,F1 macro medio,Desviacion F1 macro,Uso recomendado
Particion fija 70/15/15,MLP inicial,Prueba independiente,0.3438,,0.3214,,Evaluacion final trazable
K-fold estratificado (k=5),MLP inicial,Validaciones internas,0.4763,0.0526,0.4563,0.0318,Estimacion de variabilidad y apoyo a hiperparametros
