Esquema,Arquitectura inicial,Entrenamiento,Validacion,Prueba,Epocas ejecutadas,Accuracy entrenamiento,Accuracy validacion,Accuracy prueba,Loss prueba,Uso metodologico
80/20,"1 capa oculta, 16 neuronas, lr=0.001",222,0,43,150,0.5991,,0.3721,1.209871,No permite seleccionar hiperparametros sin tocar prueba
70/15/15,"1 capa oculta, 16 neuronas, lr=0.001",198,32,32,109,0.6061,0.5312,0.3438,1.146798,Permite ajustar hiperparametros con validacion independiente
