Configuración,Época,Loss Train,Loss Val,Acc Train,Acc Val
1L-16N-lr0.001,1,1.647870659828186,1.5480940341949463,0.3333333432674408,0.28125
1L-16N-lr0.001,2,1.5973916053771973,1.5138092041015625,0.3737373650074005,0.3125
1L-16N-lr0.001,3,1.5523695945739746,1.481709599494934,0.3737373650074005,0.34375
1L-16N-lr0.001,4,1.5107901096343994,1.4521607160568237,0.4040403962135315,0.375
1L-16N-lr0.001,5,1.4723438024520874,1.4251114130020142,0.39393940567970276,0.375
1L-16N-lr0.001,6,1.436445713043213,1.4001774787902832,0.40909090638160706,0.375
1L-16N-lr0.001,7,1.4030357599258423,1.3770160675048828,0.4141414165496826,0.375
1L-16N-lr0.001,8,1.3718698024749756,1.3559744358062744,0.4141414165496826,0.40625
1L-16N-lr0.001,9,1.3427112102508545,1.3370275497436523,0.4191919267177582,0.40625
1L-16N-lr0.001,10,1.315604329109192,1.3198144435882568,0.40909090638160706,0.40625
1L-16N-lr0.001,11,1.2907040119171143,1.304521918296814,0.4292929172515869,0.40625
1L-16N-lr0.001,12,1.2676345109939575,1.2906925678253174,0.44949495792388916,0.4375
1L-16N-lr0.001,13,1.2467402219772339,1.2781615257263184,0.44949495792388916,0.46875
1L-16N-lr0.001,14,1.22769033908844,1.2668251991271973,0.43939393758773804,0.53125
1L-16N-lr0.001,15,1.210572361946106,1.2568880319595337,0.4191919267177582,0.40625
1L-16N-lr0.001,16,1.1952546834945679,1.2480388879776,0.43939393758773804,0.375
1L-16N-lr0.001,17,1.1814079284667969,1.2400388717651367,0.43939393758773804,0.375
1L-16N-lr0.001,18,1.1688464879989624,1.2326576709747314,0.469696968793869,0.40625
1L-16N-lr0.001,19,1.1573666334152222,1.2257356643676758,0.469696968793869,0.40625
1L-16N-lr0.001,20,1.146698236465454,1.2192606925964355,0.469696968793869,0.40625
1L-16N-lr0.001,21,1.1370129585266113,1.2130687236785889,0.5,0.40625
1L-16N-lr0.001,22,1.1281129121780396,1.2074236869812012,0.5050504803657532,0.40625
1L-16N-lr0.001,23,1.1197720766067505,1.2021428346633911,0.5050504803657532,0.40625
1L-16N-lr0.001,24,1.1119019985198975,1.1971590518951416,0.5050504803657532,0.40625
1L-16N-lr0.001,25,1.1044636964797974,1.192723274230957,0.5101010203361511,0.40625
1L-16N-lr0.001,26,1.0973676443099976,1.1884236335754395,0.5050504803657532,0.40625
1L-16N-lr0.001,27,1.0906130075454712,1.1844371557235718,0.5101010203361511,0.40625
1L-16N-lr0.001,28,1.0842483043670654,1.1805474758148193,0.5050504803657532,0.40625
1L-16N-lr0.001,29,1.0782815217971802,1.177154779434204,0.5151515007019043,0.40625
1L-16N-lr0.001,30,1.0725977420806885,1.1736845970153809,0.5202020406723022,0.40625
1L-16N-lr0.001,31,1.067064881324768,1.1703245639801025,0.5252525210380554,0.40625
1L-16N-lr0.001,32,1.0617613792419434,1.166991114616394,0.5353535413742065,0.40625
1L-16N-lr0.001,33,1.0566649436950684,1.1636162996292114,0.5404040217399597,0.40625
1L-16N-lr0.001,34,1.0517327785491943,1.1605286598205566,0.5454545617103577,0.40625
1L-16N-lr0.001,35,1.0469341278076172,1.1575732231140137,0.5505050420761108,0.40625
1L-16N-lr0.001,36,1.0421785116195679,1.154885172843933,0.5555555820465088,0.40625
1L-16N-lr0.001,37,1.0374327898025513,1.1524606943130493,0.5555555820465088,0.40625
1L-16N-lr0.001,38,1.0328495502471924,1.1499296426773071,0.5555555820465088,0.40625
1L-16N-lr0.001,39,1.0285537242889404,1.147486686706543,0.560606062412262,0.40625
1L-16N-lr0.001,40,1.0243415832519531,1.145140528678894,0.5656565427780151,0.40625
1L-16N-lr0.001,41,1.0203258991241455,1.1430281400680542,0.560606062412262,0.40625
1L-16N-lr0.001,42,1.016493797302246,1.1410483121871948,0.560606062412262,0.40625
1L-16N-lr0.001,43,1.0127081871032715,1.1396002769470215,0.560606062412262,0.40625
1L-16N-lr0.001,44,1.0090357065200806,1.1383897066116333,0.5555555820465088,0.40625
1L-16N-lr0.001,45,1.0053976774215698,1.136988878250122,0.5656565427780151,0.40625
1L-16N-lr0.001,46,1.001814365386963,1.1355236768722534,0.5707070827484131,0.375
1L-16N-lr0.001,47,0.9984089136123657,1.1343746185302734,0.5656565427780151,0.375
1L-16N-lr0.001,48,0.9952759146690369,1.133440613746643,0.5707070827484131,0.375
1L-16N-lr0.001,49,0.9923052787780762,1.1327897310256958,0.5707070827484131,0.375
1L-16N-lr0.001,50,0.9894174933433533,1.132248044013977,0.5707070827484131,0.375
1L-16N-lr0.001,51,0.9866133332252502,1.131473183631897,0.5707070827484131,0.375
1L-16N-lr0.001,52,0.9839631915092468,1.1307423114776611,0.5707070827484131,0.375
1L-16N-lr0.001,53,0.9813989400863647,1.130096435546875,0.5707070827484131,0.375
1L-16N-lr0.001,54,0.9788980484008789,1.129569172859192,0.5707070827484131,0.375
1L-16N-lr0.001,55,0.9764888286590576,1.1293158531188965,0.5707070827484131,0.375
1L-16N-lr0.001,56,0.9741657972335815,1.129195213317871,0.5757575631141663,0.375
1L-16N-lr0.001,57,0.9719576835632324,1.1291919946670532,0.5757575631141663,0.375
1L-16N-lr0.001,58,0.9698056578636169,1.1291135549545288,0.5757575631141663,0.375
1L-16N-lr0.001,59,0.967750608921051,1.1290719509124756,0.5707070827484131,0.375
1L-16N-lr0.001,60,0.965748131275177,1.1291556358337402,0.5707070827484131,0.375
1L-16N-lr0.001,61,0.9638259410858154,1.1292259693145752,0.5808081030845642,0.34375
1L-16N-lr0.001,62,0.9619488716125488,1.1291680335998535,0.5757575631141663,0.34375
1L-16N-lr0.001,63,0.9601327776908875,1.1290085315704346,0.5757575631141663,0.34375
1L-16N-lr0.001,64,0.9583785533905029,1.1290442943572998,0.5707070827484131,0.3125
1L-16N-lr0.001,65,0.9566665887832642,1.1292507648468018,0.5757575631141663,0.3125
1L-16N-lr0.001,66,0.9549849629402161,1.129350185394287,0.5757575631141663,0.3125
1L-16N-lr0.001,67,0.9533833861351013,1.1294386386871338,0.5757575631141663,0.3125
1L-16N-lr0.001,68,0.9517782330513,1.1295585632324219,0.5707070827484131,0.3125
1L-16N-lr0.001,69,0.9502210021018982,1.129799485206604,0.5757575631141663,0.3125
1L-16N-lr0.001,70,0.9486808180809021,1.1299890279769897,0.5757575631141663,0.3125
1L-16N-lr0.001,71,0.9471756219863892,1.1301472187042236,0.5757575631141663,0.3125
1L-16N-lr0.001,72,0.9457125663757324,1.1304092407226562,0.5757575631141663,0.3125
1L-16N-lr0.001,73,0.9442724585533142,1.1304879188537598,0.5808081030845642,0.3125
1L-16N-lr0.001,74,0.942829430103302,1.1306111812591553,0.5808081030845642,0.34375
1L-16N-lr0.001,75,0.9414291977882385,1.1306583881378174,0.5808081030845642,0.34375
1L-16N-lr0.001,76,0.9400636553764343,1.1309335231781006,0.5808081030845642,0.375
1L-16N-lr0.001,77,0.9387187957763672,1.1313681602478027,0.5858585834503174,0.375
1L-16N-lr0.001,78,0.9374085068702698,1.1317403316497803,0.5858585834503174,0.375
1L-16N-lr0.001,79,0.9360975623130798,1.1320148706436157,0.5858585834503174,0.40625
1L-16N-lr0.001,80,0.9348263144493103,1.132247805595398,0.5858585834503174,0.40625
1L-16N-lr0.001,81,0.9336035251617432,1.1324193477630615,0.5909090638160706,0.40625
1L-16N-lr0.001,82,0.932397723197937,1.1327778100967407,0.5909090638160706,0.40625
1L-16N-lr0.001,83,0.931187629699707,1.1331226825714111,0.5909090638160706,0.40625
1L-32N-lr0.01,1,1.6027752161026,1.4430429935455322,0.3030303120613098,0.34375
1L-32N-lr0.01,2,1.1903635263442993,1.2008910179138184,0.4747474789619446,0.40625
1L-32N-lr0.01,3,1.058860421180725,1.1332087516784668,0.5050504803657532,0.40625
1L-32N-lr0.01,4,1.0012134313583374,1.1336480379104614,0.5404040217399597,0.40625
1L-32N-lr0.01,5,0.9706642627716064,1.1369867324829102,0.5555555820465088,0.375
1L-32N-lr0.01,6,0.9526567459106445,1.1406793594360352,0.5707070827484131,0.375
1L-32N-lr0.01,7,0.9383878111839294,1.144331932067871,0.5757575631141663,0.375
1L-32N-lr0.01,8,0.9292646646499634,1.1517231464385986,0.5909090638160706,0.40625
1L-32N-lr0.01,9,0.9206348061561584,1.154560923576355,0.5959596037864685,0.40625
1L-32N-lr0.01,10,0.9129132628440857,1.158122181892395,0.6111111044883728,0.40625
1L-32N-lr0.01,11,0.9064910411834717,1.1600704193115234,0.6111111044883728,0.46875
1L-32N-lr0.01,12,0.8991537094116211,1.1622002124786377,0.6060606241226196,0.46875
