Modelo,Criterio umbral,Umbral,Accuracy,Precision,Sensibilidad,Especificidad,F1-score,AUC-ROC,TN,FP,FN,TP
MLP Binario,Youden,0.9226,0.8125,1.0,0.7857,1.0,0.88,0.8348,4,0,6,22
Regresión Logística,Youden,0.3365,0.9375,1.0,0.9286,1.0,0.963,0.9464,4,0,2,26
