Modelo,Accuracy,Precision,Sensibilidad,Especificidad,F1-Score,AUC-ROC
MLP Binario,0.875,1.0,0.8571,1.0,0.9231,0.9107
Regresión Logística,0.7188,1.0,0.6786,1.0,0.8085,0.9464
