Umbral,Criterio,Accuracy,Sensibilidad,Especificidad,F1 Enfermo,TN,FP,FN,TP
0.5,Por defecto,0.7812,0.7857,0.75,0.8627,3,1,6,22
0.9226,Youden,0.8125,0.7857,1.0,0.88,4,0,6,22
