variable,descripcion,rho_spearman,valor_p
ndvi_med,NDVI promedio,-0.8547740955462519,9.83777208949258e-62
ndre_med,NDRE promedio,-0.8169568096021425,4.230661983792494e-52
evi_med,EVI promedio,-0.6123992231729142,3.2729315423467764e-23
height_med,Altura media,-0.34008918449606,3.8837088361772774e-07
gli_med,GLI promedio,-0.25349742324743396,0.00019127350704659668
