Modelo,Clases,Accuracy,Precision macro,Sensibilidad macro,F1 macro,Precision ponderada,Sensibilidad ponderada,F1 ponderado
MLP multiclase,6,0.4375,0.3023,0.3524,0.3137,0.3789,0.4375,0.3909
MLP binario,2,0.7812,0.6449,0.7679,0.6621,0.8786,0.7812,0.8126
