Modelo,Accuracy,Precision,Sensibilidad,Especificidad,F1-Score,AUC-ROC
MLP Binario,0.8438,1.0,0.8214,1.0,0.902,0.9375
Regresión Logística,0.7188,1.0,0.6786,1.0,0.8085,0.9464
